Month,G Fund,F Fund,C Fund,S Fund,I Fund
2003-05,0.34,1.87,5.26,9.42,6.07
2003-04,0.33,0.83,8.26,8.31,9.82
2003-03,0.33,-0.05,0.97,1.55,-1.9
2003-02,0.32,1.41,-1.49,-2.56,-2.29
2003-01,0.35,0.1,-2.67,-2.35,-4.24
2002-12,0.38,2.08,-5.85,-4.32,-3.27
2002-11,0.34,-0.01,5.87,6.76,4.49
2002-10,0.33,-0.44,8.77,3.38,5.42
2002-09,0.37,1.63,-10.87,-6.84,-10.75
2002-08,0.4,1.58,0.67,0.58,-0.26
2002-07,0.43,1.19,-7.7,-9.93,-9.99
2002-06,0.43,0.97,-7.1,-6.67,-3.87
2002-05,0.45,0.88,-0.75,-2.39,1.29
2002-04,0.46,1.89,-6.06,-1.06,0.25
2002-03,0.44,-1.66,3.73,6.83,5.82
2002-02,0.4,0.98,-1.92,-2.64,0.66
2002-01,0.45,0.79,-1.47,-2.02,-5.33
2001-12,0.42,-0.61,0.88,5.31,0.52
2001-11,0.37,-1.37,7.62,7.84,3.56
2001-10,0.41,2.12,1.85,5.09,2.47
2001-09,0.43,1.15,-8.05,-12.5,-9.95
2001-08,0.45,1.2,-6.27,-4.32,-2.58
2001-07,0.48,2.22,-0.98,-4.13,-1.79
2001-06,0.47,0.39,-2.42,0.66,-3.99
2001-05,0.47,0.61,0.65,1.42,-4.13
2001-04,0.43,-0.42,7.78,,
2001-03,0.45,0.51,-6.33,,
2001-02,0.42,0.87,-9.12,,
2001-01,0.46,1.65,3.55,,
2000-12,0.48,1.86,0.5,,
2000-11,0.48,1.65,-7.87,,
2000-10,0.51,0.66,-0.4,,
2000-09,0.49,0.64,-5.27,,
2000-08,0.52,1.46,6.19,,
2000-07,0.53,0.89,-1.56,,
2000-06,0.53,2.07,2.44,,
2000-05,0.54,-0.03,-2.05,,
2000-04,0.52,-0.29,-2.98,,
2000-03,0.55,1.32,9.74,,
2000-02,0.53,1.22,-1.93,,
2000-01,0.56,-0.34,-5.03,,
1999-12,0.54,-0.45,5.9,,
1999-11,0.51,-0.01,2,,
1999-10,0.53,0.38,6.34,,
1999-09,0.51,1.15,-2.78,,
1999-08,0.53,-0.05,-0.5,,
1999-07,0.52,-0.43,-3.14,,
1999-06,0.49,-0.33,5.54,,
1999-05,0.47,-0.89,-2.36,,
1999-04,0.46,0.29,3.86,,
1999-03,0.47,0.54,3.99,,
1999-02,0.38,-1.74,-3.09,,
1999-01,0.42,0.71,4.19,,
1998-12,0.43,0.3,5.76,,
1998-11,0.42,0.56,6.04,,
1998-10,0.41,-0.52,8.19,,
1998-09,0.44,2.36,6.33,,
1998-08,0.49,1.66,-14.47,,
1998-07,0.49,0.21,-1.09,,
1998-06,0.48,0.85,4.05,,
1998-05,0.51,0.95,-1.72,,
1998-04,0.49,0.52,1,,
1998-03,0.5,0.34,5.11,,
1998-02,0.44,-0.07,7.2,,
1998-01,0.51,1.28,1.12,,
1997-12,0.52,1.01,1.71,,
1997-11,0.5,0.46,4.61,,
1997-10,0.54,1.45,-3.38,,
1997-09,0.54,1.48,5.46,,
1997-08,0.53,-0.86,-5.59,,
1997-07,0.57,2.69,7.94,,
1997-06,0.56,1.18,4.45,,
1997-05,0.58,0.94,6.07,,
1997-04,0.58,1.49,6,,
1997-03,0.57,-1.11,-4.13,,
1997-02,0.51,0.24,0.79,,
1997-01,0.56,0.3,6.22,,
1996-12,0.53,-0.93,-1.97,,
1996-11,0.53,1.69,7.54,,
1996-10,0.58,2.21,2.74,,
1996-09,0.58,1.72,5.6,,
1996-08,0.58,-0.18,2.07,,
1996-07,0.58,0.27,-4.39,,
1996-06,0.57,1.34,0.38,,
1996-05,0.58,-0.11,2.56,,
1996-04,0.54,-0.56,1.47,,
1996-03,0.54,-0.68,0.97,,
1996-02,0.46,-1.75,0.91,,
1996-01,0.49,0.66,3.41,,
1995-12,0.5,1.39,1.92,,
1995-11,0.51,1.49,4.38,,
1995-10,0.54,1.28,-0.36,,
1995-09,0.53,0.95,4.19,,
1995-08,0.56,1.21,0.26,,
1995-07,0.55,-0.23,3.3,,
1995-06,0.53,0.71,2.31,,
1995-05,0.61,3.84,3.98,,
1995-04,0.6,1.38,2.94,,
1995-03,0.62,0.6,2.94,,
1995-02,0.59,2.38,3.87,,
1995-01,0.67,1.98,2.58,,
1994-12,0.68,0.69,1.49,,
1994-11,0.64,-0.23,-3.62,,
1994-10,0.65,-0.1,2.24,,
1994-09,0.59,-1.47,-2.44,,
1994-08,0.6,0.13,4.11,,
1994-07,0.62,1.97,3.27,,
1994-06,0.59,-0.24,-2.47,,
1994-05,0.6,-0.02,1.66,,
1994-04,0.56,-0.81,1.28,,
1994-03,0.52,-2.45,-4.39,,
1994-02,0.43,-1.72,-2.7,,
1994-01,0.51,1.33,3.4,,
1993-12,0.49,0.52,1.2,,
1993-11,0.45,-0.84,-0.93,,
1993-10,0.47,0.38,2.04,,
1993-09,0.45,0.26,-0.76,,
1993-08,0.49,1.72,3.78,,
1993-07,0.49,0.55,-0.38,,
1993-06,0.51,1.79,0.32,,
1993-05,0.51,0.1,2.66,,
1993-04,0.51,0.67,-2.39,,
1993-03,0.52,0.41,2.09,,
1993-02,0.49,1.73,1.35,,
1993-01,0.58,1.88,0.86,,
1992-12,0.58,1.54,1.21,,
1992-11,0.56,0.01,3.39,,
1992-10,0.55,-1.3,0.42,,
1992-09,0.54,1.15,1.15,,
1992-08,0.57,1,-2.02,,
1992-07,0.6,2,4.11,,
1992-06,0.6,1.36,-1.45,,
1992-05,0.64,1.84,0.49,,
1992-04,0.62,0.67,2.91,,
1992-03,0.62,-0.53,-1.91,,
1992-02,0.56,0.66,1.29,,
1992-01,0.57,-1.35,-1.89,,
1991-12,0.62,2.96,11.41,,
1991-11,0.61,0.89,-3.96,,
1991-10,0.62,1.09,1.39,,
1991-09,0.64,1.99,-1.63,,
1991-08,0.69,2.12,2.37,,
1991-07,0.69,1.4,4.63,,
1991-06,0.66,-0.01,-4.49,,
1991-05,0.68,0.57,4.3,,
1991-04,0.66,1.05,0.18,,
1991-03,0.68,0.67,2.4,,
1991-02,0.62,0.86,7.07,,
1991-01,0.69,1.15,4.55,,
1990-12,0.7,1.46,2.72,,
1990-11,0.7,2.15,6.36,,
1990-10,0.76,1.32,-0.46,,
1990-09,0.73,0.81,-4.85,,
1990-08,0.72,-1.42,-8.65,,
1990-07,0.72,1.24,-0.36,,
1990-06,0.71,1.56,-0.71,,
1990-05,0.76,2.8,9.44,,
1990-04,0.71,-0.94,-2.52,,
1990-03,0.72,0.01,2.64,,
1990-02,0.64,0.21,1.26,,
1990-01,0.68,-1.38,-6.59,,
1989-12,0.67,0.16,2.37,,
1989-11,0.65,0.86,2.05,,
1989-10,0.71,2.45,-2.33,,
1989-09,0.68,0.37,-0.29,,
1989-08,0.66,-1.48,1.98,,
1989-07,0.69,2.06,8.83,,
1989-06,0.7,3.19,-0.58,,
1989-05,0.76,2.42,3.98,,
1989-04,0.75,2.05,5.14,,
1989-03,0.78,0.5,2.21,,
1989-02,0.67,-0.68,-2.51,,
1989-01,0.76,1.27,7.14,,
1988-12,0.74,0.31,1.78,,
1988-11,0.68,-1.09,-1.23,,
1988-10,0.75,1.68,2.53,,
1988-09,0.76,2.07,4.12,,
1988-08,0.76,0.33,-2.74,,
1988-07,0.72,-0.49,-0.24,,
1988-06,0.72,1.97,4.08,,
1988-05,0.71,-0.63,1.42,,
1988-04,0.68,-0.46,0.73,,
1988-03,0.66,-0.8,-3.47,,
1988-02,0.62,0.81,4.82,,
1988-01,0.69,-0.06,-0.2,,
1987-12,0.69,,,,
1987-11,0.69,,,,
1987-10,0.8,,,,
1987-09,0.65,,,,
1987-08,0.73,,,,
1987-07,0.71,,,,
1987-06,0.75,,,,
1987-05,0.63,,,,
1987-04,0.6,,,,
